Time,Close,High,Low,Open,Volume
2021-03-30 00:00:00 +0000 UTC,48982.890000,49108.970000,48456.420000,48883.790000,113.972883
2021-03-29 18:00:00 +0000 UTC,48883.790000,49216.270000,48513.950000,49140.050000,322.258415
2021-03-29 12:00:00 +0000 UTC,49102.720000,49480.000000,48530.000000,49050.000000,623.545138
2021-03-29 06:00:00 +0000 UTC,49050.000000,49500.000000,46707.320000,46756.750000,882.025154
2021-03-29 00:00:00 +0000 UTC,46756.780000,47448.000000,46649.320000,47310.180000,128.793678
2021-03-28 18:00:00 +0000 UTC,47338.400000,47461.460000,46346.510000,47413.900000,351.041457
2021-03-28 12:00:00 +0000 UTC,47413.880000,47850.000000,46930.010000,47348.000000,242.056268
2021-03-28 06:00:00 +0000 UTC,47365.830000,47911.830000,47271.400000,47709.720000,169.875031
2021-03-28 00:00:00 +0000 UTC,47694.640000,47877.770000,47138.140000,47351.520000,101.934628
2021-03-27 18:00:00 +0000 UTC,47346.580000,47944.800000,47090.770000,47518.990000,248.519890
2021-03-27 12:00:00 +0000 UTC,47535.200000,47699.670000,45742.970000,46164.800000,459.302510
2021-03-27 06:00:00 +0000 UTC,46164.800000,46931.030000,46103.840000,46832.920000,194.259068
2021-03-27 00:00:00 +0000 UTC,46835.590000,47089.790000,46265.730000,46690.020000,172.417389
2021-03-26 18:00:00 +0000 UTC,46690.000000,46730.340000,45425.010000,45733.900000,340.885774
2021-03-26 12:00:00 +0000 UTC,45724.990000,45845.440000,44648.010000,44800.180000,428.180735
2021-03-26 06:00:00 +0000 UTC,44798.130000,45799.900000,44521.970000,44868.300000,544.666750
2021-03-26 00:00:00 +0000 UTC,44897.000000,44948.960000,43574.600000,43600.010000,185.874552
2021-03-25 18:00:00 +0000 UTC,43623.730000,44810.980000,43530.020000,43878.920000,470.003120
2021-03-25 12:00:00 +0000 UTC,43853.520000,44341.780000,42652.000000,44200.000000,1358.356118
2021-03-25 06:00:00 +0000 UTC,44215.670000,45165.250000,44172.470000,44635.120000,757.038997
2021-03-25 00:00:00 +0000 UTC,44657.430000,44778.670000,43667.540000,44331.120000,469.036059
2021-03-24 18:00:00 +0000 UTC,44327.510000,47659.740000,43855.000000,47500.640000,1106.257729
2021-03-24 12:00:00 +0000 UTC,47503.490000,48400.000000,47023.900000,47833.520000,582.139387
2021-03-24 06:00:00 +0000 UTC,47825.310000,47989.980000,45457.030000,45753.620000,702.097734
2021-03-24 00:00:00 +0000 UTC,45790.930000,46250.000000,45259.890000,45933.090000,226.790981
2021-03-23 18:00:00 +0000 UTC,45972.090000,47152.140000,45711.330000,47021.660000,446.711395
2021-03-23 12:00:00 +0000 UTC,47020.690000,47053.080000,45695.650000,45698.180000,553.902642
2021-03-23 06:00:00 +0000 UTC,45702.030000,46239.230000,44461.830000,45028.590000,876.029806
2021-03-23 00:00:00 +0000 UTC,45021.780000,46459.330000,44680.000000,45427.930000,390.417177
2021-03-22 18:00:00 +0000 UTC,45443.040000,47942.160000,45101.000000,47873.900000,924.958733
2021-03-22 12:00:00 +0000 UTC,47854.930000,48471.180000,47211.530000,48433.360000,499.899573
2021-03-22 06:00:00 +0000 UTC,48433.360000,49099.890000,47971.400000,48476.440000,325.209085
2021-03-22 00:00:00 +0000 UTC,48454.250000,48632.400000,47468.190000,48284.530000,155.635484
2021-03-21 18:00:00 +0000 UTC,48284.530000,48950.000000,48121.000000,48257.120000,272.756275
2021-03-21 12:00:00 +0000 UTC,48244.850000,48480.300000,47094.780000,47415.770000,404.427339
2021-03-21 06:00:00 +0000 UTC,47421.370000,48449.990000,46902.270000,48164.080000,571.028815
2021-03-21 00:00:00 +0000 UTC,48164.080000,49331.310000,47892.000000,48890.140000,240.721326
2021-03-20 18:00:00 +0000 UTC,48907.510000,49920.800000,48800.000000,49633.870000,292.459111
2021-03-20 12:00:00 +0000 UTC,49651.830000,50179.890000,49287.360000,49799.940000,499.814810
2021-03-20 06:00:00 +0000 UTC,49781.370000,49843.000000,48811.000000,48934.980000,160.014250
2021-03-20 00:00:00 +0000 UTC,48943.280000,49502.070000,48649.460000,48800.000000,102.643391
2021-03-19 18:00:00 +0000 UTC,48808.700000,49888.000000,48780.100000,49429.960000,360.970324
2021-03-19 12:00:00 +0000 UTC,49437.190000,49790.870000,48797.230000,49464.130000,578.808320
2021-03-19 06:00:00 +0000 UTC,49486.990000,49500.000000,48240.000000,48993.540000,414.145820
2021-03-19 00:00:00 +0000 UTC,49024.060000,49024.460000,47309.850000,48408.430000,213.064488
2021-03-18 18:00:00 +0000 UTC,48400.490000,49714.410000,47928.490000,49661.160000,521.513460
2021-03-18 12:00:00 +0000 UTC,49633.010000,50299.000000,48160.000000,48713.470000,899.771853
